id,stats_data_id,cat01,item_name,item_code,unit,area_type,is_ranking
225,"0000010213","#M0130107","3次活動の平均時間（無業者・男）","tertiary-activity-avg-time-unemployed-male","分","prefecture",0
3340,"0000010102","B1102","総面積（北方地域及び竹島を含む）","total-area-including-northern-territories-and-takeshima","ｈａ","prefecture",0
416,"0000010202","#B011001","総面積（北方地域及び竹島を含む）","total-area-including-northern-territories-and-takeshima","１００Ｋm2","prefecture",0
2124,"0000010112","L2100","農家総所得","total-farm-household-income","千円","prefecture",0
337,"0000010212","#L01100","農家総所得","total-farm-household-income","千円","prefecture",0
3781,"0000010101","A4103","合計特殊出生率","total-fertility-rate","‐","prefecture",0
532,"0000010201","#A05203","合計特殊出生率","total-fertility-rate","‐","prefecture",0
3383,"0000010101","A1101","総人口","total-population","人","prefecture",0
477,"0000010201","#A011000","総人口","total-population","万人","prefecture",0
3385,"0000010101","A110102","総人口（女）","total-population-female","人","prefecture",0
479,"0000010201","#A0110002","総人口（女）","total-population-female","万人","prefecture",0
3384,"0000010101","A110101","総人口（男）","total-population-male","人","prefecture",0
478,"0000010201","#A0110001","総人口（男）","total-population-male","万人","prefecture",0
4725,"0000010108","H7150","自動車走行台キロ","vehicle-kilometers-traveled","千台・km/12ｈ","prefecture",0
4926,"0000010208","#H06412","自動車走行台キロ","vehicle-kilometers-traveled","千台･km/12h","prefecture",0
2489,"0000010113","M220201","仕事の平均時間（有業者）（女）","work-avg-time-employed-female","分","prefecture",0
229,"0000010213","#M0210201","仕事の平均時間（有業者・女）","work-avg-time-employed-female","分","prefecture",0
2485,"0000010113","M220101","仕事の平均時間（有業者）（男）","work-avg-time-employed-male","分","prefecture",0
228,"0000010213","#M0210101","仕事の平均時間（有業者・男）","work-avg-time-employed-male","分","prefecture",0
3462,"0000010101","A1304","15歳未満人口割合","young-population-ratio","％","prefecture",0
507,"0000010201","#A03501","15歳未満人口割合","young-population-ratio","％","prefecture",0
