code,indicator,unit,category,series,opp,prefAvail,cityAvail,prefUsed,cityUsed,vintage,prefId,cityId
H1802,着工新設貸家数,戸・件,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H1803,着工新設分譲住宅数,戸・件,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H2270,耐震工事をした住宅数（持ち家）,住宅,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H2281,太陽光を利用した発電機器のある住宅数,戸,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H2600,着工新設住宅床面積,ｍ2,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H5608,ごみ計画収集人口,人,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H5609,ごみ総排出量（総量）,ｔ,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H5615,ごみ最終処分量,ｔ,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H6130,小売店数,事業所,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H6133,百貨店、総合スーパー数,事業所,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H7207,軽自動車等台数,台,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H7208,二輪の小型自動車台数,台,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H7209,原動機付自転車台数,台,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H7301,自宅外通勤・通学者数,人,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H730101,自宅外通勤・通学者数（徒歩だけ）,人,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H730102,自宅外通勤・通学者数（鉄道・電車）,人,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H730103,自宅外通勤・通学者数（乗合バス）,人,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H730105,自宅外通勤・通学者数（自家用車）,人,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H730110,自宅外通勤・通学者数（オートバイ）,人,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H730111,自宅外通勤・通学者数（自転車）,人,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H8101,都市計画区域指定面積,ｈａ,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
#I0910105,#I0910105_一般診療所数（人口10万人当たり）,施設,健康・医療,indicator,ADD city (pref exists),1,1,1,0,0,0000010209,0000020309
#I0950102,#I0950102_一般病院数（可住地面積100km2当たり）,施設,健康・医療,indicator,ADD city (pref exists),1,1,1,0,0,0000010209,0000020309
#I0950103,#I0950103_一般診療所数（可住地面積100km2当たり）,施設,健康・医療,indicator,ADD city (pref exists),1,1,1,0,0,0000010209,0000020309
I510110,精神科病院数,施設,健康・医療,basic,ADD city (pref exists),1,1,1,0,0,0000010109,0000020209
I510120,一般病院数,施設,健康・医療,basic,ADD city (pref exists),1,1,1,0,0,0000010109,0000020209
I5102,一般診療所数,施設,健康・医療,basic,ADD city (pref exists),1,1,1,0,0,0000010109,0000020209
I5103,歯科診療所数,施設,健康・医療,basic,ADD city (pref exists),1,1,1,0,0,0000010109,0000020209
I6100,医師数,人,健康・医療,basic,ADD city (pref exists),1,1,1,0,0,0000010109,0000020209
I6200,歯科医師数,人,健康・医療,basic,ADD city (pref exists),1,1,1,0,0,0000010109,0000020209
I6300,薬剤師数,人,健康・医療,basic,ADD city (pref exists),1,1,1,0,0,0000010109,0000020209
J2402,身体障害者更生援護施設定員数,人,福祉・社会保障,basic,ADD city (pref exists),1,1,1,0,0,0000010110,0000020210
J2403,身体障害者更生援護施設在所者数,人,福祉・社会保障,basic,ADD city (pref exists),1,1,1,0,0,0000010110,0000020210
J2702,知的障害者援護施設定員数,人,福祉・社会保障,basic,ADD city (pref exists),1,1,1,0,0,0000010110,0000020210
J2703,知的障害者援護施設在所者数,人,福祉・社会保障,basic,ADD city (pref exists),1,1,1,0,0,0000010110,0000020210
K3101,交通事故発生件数,件,安全,basic,ADD city (pref exists),1,1,1,0,0,0000010111,0000020211
K4201,刑法犯認知件数,件,安全,basic,ADD city (pref exists),1,1,1,0,0,0000010111,0000020211
#A01302,#A01302_昼夜間人口比率,％,人口・世帯,indicator,NEW pref+city,1,1,0,0,0,0000010201,0000020301
#A05101,#A05101_人口増減率（（A1101/A1101（-1））-1）,％,人口・世帯,indicator,NEW pref+city,1,1,0,0,0,0000010201,0000020301
A110101,総人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A110102,総人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A110201,日本人人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A110202,日本人人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1231,年齢中位数,歳,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1301,15歳未満人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A130101,15歳未満人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A130102,15歳未満人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1302,15～64歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A130201,15～64歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A130202,15～64歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1303,65歳以上人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A130301,65歳以上人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A130302,65歳以上人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1401,3歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140101,3歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140102,3歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1402,4歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140201,4歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140202,4歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1403,5歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A140301,5歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
